0,131328,67240192,67239936
1,65664,33620096,33619968
2,32832,16810048,16809984
3,16416,8405024,8404992
4,8208,4202512,4202496
5,4104,2101256,2101248
6,2052,1050628,1050624
7,1026,525314,525312
8,513,262657,262656
9,256,67240192,67239936
10,128,33620096,33619968
11,64,16810048,16809984
12,32,8405024,8404992
13,16,4202512,4202496
14,8,2101256,2101248
15,4,1050628,1050624
16,2,525314,525312
17,1,262657,262656
18,131072,67240192,67239936
19,65536,33620096,33619968
20,32768,16810048,16809984
21,16384,8405024,8404992
22,8192,4202512,4202496
23,4096,2101256,2101248
24,2048,1050628,1050624
25,1024,525314,525312
26,512,262657,262656
27,131328,131328,67239936
28,65664,65664,33619968
29,32832,32832,16809984
30,16416,16416,8404992
31,8208,8208,4202496
32,4104,4104,2101248
33,2052,2052,1050624
34,1026,1026,525312
35,513,513,262656
36,131328,67109120,67239936
37,65664,33554560,33619968
38,32832,16777280,16809984
39,16416,8388640,8404992
40,8208,4194320,4202496
41,4104,2097160,2101248
42,2052,1048580,1050624
43,1026,524290,525312
44,513,262145,262656
45,131328,67239936,67239936
46,65664,33619968,33619968
47,32832,16809984,16809984
48,16416,8404992,8404992
49,8208,4202496,4202496
50,4104,2101248,2101248
51,2052,1050624,1050624
52,1026,525312,525312
53,513,262656,262656
54,131328,67240192,131072
55,65664,33620096,65536
56,32832,16810048,32768
57,16416,8405024,16384
58,8208,4202512,8192
59,4104,2101256,4096
60,2052,1050628,2048
61,1026,525314,1024
62,513,262657,512
63,131328,67240192,67108864
64,65664,33620096,33554432
65,32832,16810048,16777216
66,16416,8405024,8388608
67,8208,4202512,4194304
68,4104,2101256,2097152
69,2052,1050628,1048576
70,1026,525314,524288
71,513,262657,262144
72,131328,67240192,67239936
73,65664,33620096,33619968
74,32832,16810048,16809984
75,16416,8405024,8404992
76,8208,4202512,4202496
77,4104,2101256,2101248
78,2052,1050628,1050624
79,1026,525314,525312
80,513,262657,262656
